evaluation_id,filename,input_image_path,true_style,input_type,predicted_main_style,predicted_styles_threshold_fallback,recommendation_mode,allowed_styles,pants_style,pants_filename,pants_image_path,pants_clip_similarity,shoes_style,shoes_filename,shoes_image_path,shoes_clip_similarity,tshirt_style,tshirt_filename,tshirt_image_path,tshirt_clip_similarity,jacket_style,jacket_filename,jacket_image_path,jacket_clip_similarity
eval_01,formal_jacket_rw_003.png,..\dataset\real_world_test\formal\jacket\formal_jacket_rw_003.png,formal,jacket,streetwear,formal + streetwear,new_multi_style_clip_ranked,formal + streetwear,formal,formal_pants_001.png,..\dataset\cleaned\formal\pants\formal_pants_001.png,0.38591957092285156,formal,formal_shoes_043.png,..\dataset\cleaned\formal\shoes\formal_shoes_043.png,0.30682921409606934,formal,formal_tshirt_009.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_009.png,0.35695064067840576,,,,
eval_02,formal_tshirt_rw_002.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal,tshirt,streetwear,formal + streetwear,new_multi_style_clip_ranked,formal + streetwear,formal,formal_pants_008.png,..\dataset\cleaned\formal\pants\formal_pants_008.png,0.4132100045681,formal,formal_shoes_048.png,..\dataset\cleaned\formal\shoes\formal_shoes_048.png,0.36063581705093384,,,,,formal,formal_jacket_015.png,..\dataset\cleaned\formal\jacket\formal_jacket_015.png,0.5334632396697998
eval_03,formal_tshirt_rw_003.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_003.png,formal,tshirt,streetwear,sporty + streetwear,new_multi_style_clip_ranked,sporty + streetwear,sporty,sporty_pants_004.png,..\dataset\cleaned\sporty\pants\sporty_pants_004.png,0.34173762798309326,streetwear,streetwear_shoes_031.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_031.png,0.24349652230739594,,,,,sporty,sporty_jacket_023.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_023.png,0.37149709463119507
eval_04,formal_tshirt_rw_005.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_005.png,formal,tshirt,streetwear,sporty + streetwear,new_multi_style_clip_ranked,sporty + streetwear,sporty,sporty_pants_023.png,..\dataset\cleaned\sporty\pants\sporty_pants_023.png,0.4038846492767334,streetwear,streetwear_shoes_009.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_009.png,0.36396074295043945,,,,,sporty,sporty_jacket_038.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_038.png,0.4324468672275543
eval_05,gothic_shoes_rw_002.png,..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic,shoes,streetwear,gothic + sporty + streetwear,new_multi_style_clip_ranked,gothic + sporty + streetwear,gothic,gothic_pants_012.png,..\dataset\cleaned\gothic\pants\gothic_pants_012.png,0.6169062852859497,,,,,gothic,gothic_tshirt_012.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_012.png,0.3800058960914612,gothic,gothic_jacket_020.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_020.png,0.5202613472938538
eval_06,gothic_jacket_rw_005.png,..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_005.png,gothic,jacket,gothic,formal + gothic,new_multi_style_clip_ranked,formal + gothic,gothic,gothic_pants_010.png,..\dataset\cleaned\gothic\pants\gothic_pants_010.png,0.5555698871612549,gothic,gothic_shoes_013.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_013.png,0.519904613494873,gothic,gothic_tshirt_045.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_045.png,0.40893077850341797,,,,
eval_07,gothic_pants_rw_001.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic,pants,gothic,gothic + streetwear,new_multi_style_clip_ranked,gothic + streetwear,,,,,gothic,gothic_shoes_013.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_013.png,0.6035169959068298,gothic,gothic_tshirt_033.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_033.png,0.4293481111526489,gothic,gothic_jacket_020.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_020.png,0.5249474048614502
eval_08,gothic_pants_rw_005.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_005.png,gothic,pants,gothic,gothic + streetwear,new_multi_style_clip_ranked,gothic + streetwear,,,,,gothic,gothic_shoes_018.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_018.png,0.6648446321487427,streetwear,streetwear_tshirt_033.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_033.png,0.48847445845603943,gothic,gothic_jacket_002.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_002.png,0.6222316026687622
eval_09,sporty_tshirt_rw_003.png,..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_003.png,sporty,tshirt,streetwear,formal + sporty + streetwear,new_multi_style_clip_ranked,formal + sporty + streetwear,streetwear,streetwear_pants_038.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_038.png,0.40356945991516113,sporty,sporty_shoes_007.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_007.png,0.379303514957428,,,,,formal,formal_jacket_017.png,..\dataset\cleaned\formal\jacket\formal_jacket_017.png,0.4183829724788666
eval_10,sporty_jacket_rw_004.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_004.png,sporty,jacket,formal,formal + sporty,new_multi_style_clip_ranked,formal + sporty,formal,formal_pants_001.png,..\dataset\cleaned\formal\pants\formal_pants_001.png,0.43074050545692444,formal,formal_shoes_043.png,..\dataset\cleaned\formal\shoes\formal_shoes_043.png,0.35575491189956665,formal,formal_tshirt_004.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_004.png,0.3961085081100464,,,,
