allowed_styles,evaluation_id,filename,input_image_path,input_type,jacket_clip_similarity,jacket_filename,jacket_image_path,jacket_style,pants_clip_similarity,pants_filename,pants_image_path,pants_style,predicted_main_style,predicted_styles_threshold_fallback,recommendation_mode,shoes_clip_similarity,shoes_filename,shoes_image_path,shoes_style,true_style,tshirt_clip_similarity,tshirt_filename,tshirt_image_path,tshirt_style
formal + streetwear,eval_01,formal_jacket_rw_003.png,..\dataset\real_world_test\formal\jacket\formal_jacket_rw_003.png,jacket,,,,,0.38591957092285156,formal_pants_001.png,..\dataset\cleaned\formal\pants\formal_pants_001.png,formal,streetwear,formal + streetwear,new_multi_style_clip_ranked,0.30682921409606934,formal_shoes_043.png,..\dataset\cleaned\formal\shoes\formal_shoes_043.png,formal,formal,0.35695064067840576,formal_tshirt_009.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_009.png,formal
formal + streetwear,eval_01,formal_jacket_rw_003.png,..\dataset\real_world_test\formal\jacket\formal_jacket_rw_003.png,jacket,,,,,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear,formal + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,formal,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
formal + streetwear,eval_02,formal_tshirt_rw_002.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,tshirt,0.5334632396697998,formal_jacket_015.png,..\dataset\cleaned\formal\jacket\formal_jacket_015.png,formal,0.4132100045681,formal_pants_008.png,..\dataset\cleaned\formal\pants\formal_pants_008.png,formal,streetwear,formal + streetwear,new_multi_style_clip_ranked,0.36063581705093384,formal_shoes_048.png,..\dataset\cleaned\formal\shoes\formal_shoes_048.png,formal,formal,,,,
formal + streetwear,eval_02,formal_tshirt_rw_002.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,tshirt,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear,formal + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,formal,,,,
sporty + streetwear,eval_03,formal_tshirt_rw_003.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_003.png,tshirt,0.37149709463119507,sporty_jacket_023.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_023.png,sporty,0.34173762798309326,sporty_pants_004.png,..\dataset\cleaned\sporty\pants\sporty_pants_004.png,sporty,streetwear,sporty + streetwear,new_multi_style_clip_ranked,0.24349652230739594,streetwear_shoes_031.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_031.png,streetwear,formal,,,,
sporty + streetwear,eval_03,formal_tshirt_rw_003.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_003.png,tshirt,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear,sporty + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,formal,,,,
sporty + streetwear,eval_04,formal_tshirt_rw_005.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_005.png,tshirt,0.4324468672275543,sporty_jacket_038.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_038.png,sporty,0.4038846492767334,sporty_pants_023.png,..\dataset\cleaned\sporty\pants\sporty_pants_023.png,sporty,streetwear,sporty + streetwear,new_multi_style_clip_ranked,0.36396074295043945,streetwear_shoes_009.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_009.png,streetwear,formal,,,,
sporty + streetwear,eval_04,formal_tshirt_rw_005.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_005.png,tshirt,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear,sporty + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,formal,,,,
gothic + sporty + streetwear,eval_05,gothic_shoes_rw_002.png,..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,shoes,0.5202613472938538,gothic_jacket_020.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_020.png,gothic,0.6169062852859497,gothic_pants_012.png,..\dataset\cleaned\gothic\pants\gothic_pants_012.png,gothic,streetwear,gothic + sporty + streetwear,new_multi_style_clip_ranked,,,,,gothic,0.3800058960914612,gothic_tshirt_012.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_012.png,gothic
gothic + sporty + streetwear,eval_05,gothic_shoes_rw_002.png,..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,shoes,,sporty_jacket_024.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_024.png,sporty,,sporty_pants_024.png,..\dataset\cleaned\sporty\pants\sporty_pants_024.png,sporty,streetwear,gothic + sporty + streetwear,previous_random_multi_style,,,,,gothic,,sporty_tshirt_024.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_024.png,sporty
formal + gothic,eval_06,gothic_jacket_rw_005.png,..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_005.png,jacket,,,,,0.5555698871612549,gothic_pants_010.png,..\dataset\cleaned\gothic\pants\gothic_pants_010.png,gothic,gothic,formal + gothic,new_multi_style_clip_ranked,0.519904613494873,gothic_shoes_013.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_013.png,gothic,gothic,0.40893077850341797,gothic_tshirt_045.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_045.png,gothic
formal + gothic,eval_06,gothic_jacket_rw_005.png,..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_005.png,jacket,,,,,,gothic_pants_034.png,..\dataset\cleaned\gothic\pants\gothic_pants_034.png,gothic,gothic,formal + gothic,previous_random_multi_style,,gothic_shoes_034.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_034.png,gothic,gothic,,gothic_tshirt_034.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_034.png,gothic
gothic + streetwear,eval_07,gothic_pants_rw_001.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,pants,0.5249474048614502,gothic_jacket_020.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_020.png,gothic,,,,,gothic,gothic + streetwear,new_multi_style_clip_ranked,0.6035169959068298,gothic_shoes_013.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_013.png,gothic,gothic,0.4293481111526489,gothic_tshirt_033.png,..\dataset\cleaned\gothic\tshirt\gothic_tshirt_033.png,gothic
gothic + streetwear,eval_07,gothic_pants_rw_001.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,pants,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,,,,gothic,gothic + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,gothic,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
gothic + streetwear,eval_08,gothic_pants_rw_005.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_005.png,pants,0.6222316026687622,gothic_jacket_002.png,..\dataset\cleaned\gothic\jacket\gothic_jacket_002.png,gothic,,,,,gothic,gothic + streetwear,new_multi_style_clip_ranked,0.6648446321487427,gothic_shoes_018.png,..\dataset\cleaned\gothic\shoes\gothic_shoes_018.png,gothic,gothic,0.48847445845603943,streetwear_tshirt_033.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_033.png,streetwear
gothic + streetwear,eval_08,gothic_pants_rw_005.png,..\dataset\real_world_test\gothic\pants\gothic_pants_rw_005.png,pants,,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png,streetwear,,,,,gothic,gothic + streetwear,previous_random_multi_style,,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,gothic,,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,streetwear
formal + sporty + streetwear,eval_09,sporty_tshirt_rw_003.png,..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_003.png,tshirt,0.4183829724788666,formal_jacket_017.png,..\dataset\cleaned\formal\jacket\formal_jacket_017.png,formal,0.40356945991516113,streetwear_pants_038.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_038.png,streetwear,streetwear,formal + sporty + streetwear,new_multi_style_clip_ranked,0.379303514957428,sporty_shoes_007.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_007.png,sporty,sporty,,,,
formal + sporty + streetwear,eval_09,sporty_tshirt_rw_003.png,..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_003.png,tshirt,,sporty_jacket_024.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_024.png,sporty,,sporty_pants_024.png,..\dataset\cleaned\sporty\pants\sporty_pants_024.png,sporty,streetwear,formal + sporty + streetwear,previous_random_multi_style,,sporty_shoes_024.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_024.png,sporty,sporty,,,,
formal + sporty,eval_10,sporty_jacket_rw_004.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_004.png,jacket,,,,,0.43074050545692444,formal_pants_001.png,..\dataset\cleaned\formal\pants\formal_pants_001.png,formal,formal,formal + sporty,new_multi_style_clip_ranked,0.35575491189956665,formal_shoes_043.png,..\dataset\cleaned\formal\shoes\formal_shoes_043.png,formal,sporty,0.3961085081100464,formal_tshirt_004.png,..\dataset\cleaned\formal\tshirt\formal_tshirt_004.png,formal
formal + sporty,eval_10,sporty_jacket_rw_004.png,..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_004.png,jacket,,,,,,sporty_pants_034.png,..\dataset\cleaned\sporty\pants\sporty_pants_034.png,sporty,formal,formal + sporty,previous_random_multi_style,,sporty_shoes_034.png,..\dataset\cleaned\sporty\shoes\sporty_shoes_034.png,sporty,sporty,,sporty_tshirt_034.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_034.png,sporty
