evaluation_id,filename,input_image_path,true_style,input_type,predicted_main_style,predicted_styles_threshold_fallback,recommendation_mode,allowed_styles,pants_style,pants_filename,pants_image_path,shoes_style,shoes_filename,shoes_image_path,tshirt_style,tshirt_filename,tshirt_image_path,jacket_style,jacket_filename,jacket_image_path
eval_01,formal_jacket_rw_003.png,..\dataset\real_world_test\formal\jacket\formal_jacket_rw_003.png,formal,jacket,streetwear,formal + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,streetwear,streetwear_shoes_014.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_014.png,streetwear,streetwear_tshirt_014.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_014.png,,,
eval_01,formal_jacket_rw_003.png,..\dataset\real_world_test\formal\jacket\formal_jacket_rw_003.png,formal,jacket,streetwear,formal + streetwear,new_multi_style,formal + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,streetwear,streetwear_tshirt_034.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_034.png,,,
eval_02,formal_tshirt_rw_002.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal,tshirt,streetwear,formal + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,streetwear,streetwear_shoes_014.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_014.png,,,,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_02,formal_tshirt_rw_002.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal,tshirt,streetwear,formal + streetwear,new_multi_style,formal + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,,,,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_03,formal_tshirt_rw_003.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_003.png,formal,tshirt,streetwear,sporty + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,streetwear,streetwear_shoes_014.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_014.png,,,,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_03,formal_tshirt_rw_003.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_003.png,formal,tshirt,streetwear,sporty + streetwear,new_multi_style,sporty + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,,,,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_04,formal_tshirt_rw_005.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_005.png,formal,tshirt,streetwear,sporty + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,streetwear,streetwear_shoes_014.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_014.png,,,,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_04,formal_tshirt_rw_005.png,..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_005.png,formal,tshirt,streetwear,sporty + streetwear,new_multi_style,sporty + streetwear,streetwear,streetwear_pants_034.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_034.png,streetwear,streetwear_shoes_034.png,..\dataset\cleaned\streetwear\shoes\streetwear_shoes_034.png,,,,streetwear,streetwear_jacket_034.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_034.png
eval_05,gothic_shoes_rw_002.png,..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic,shoes,streetwear,gothic + sporty + streetwear,old_single_style,streetwear,streetwear,streetwear_pants_014.png,..\dataset\cleaned\streetwear\pants\streetwear_pants_014.png,,,,streetwear,streetwear_tshirt_014.png,..\dataset\cleaned\streetwear\tshirt\streetwear_tshirt_014.png,streetwear,streetwear_jacket_014.png,..\dataset\cleaned\streetwear\jacket\streetwear_jacket_014.png
eval_05,gothic_shoes_rw_002.png,..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic,shoes,streetwear,gothic + sporty + streetwear,new_multi_style,gothic + sporty + streetwear,sporty,sporty_pants_024.png,..\dataset\cleaned\sporty\pants\sporty_pants_024.png,,,,sporty,sporty_tshirt_024.png,..\dataset\cleaned\sporty\tshirt\sporty_tshirt_024.png,sporty,sporty_jacket_024.png,..\dataset\cleaned\sporty\jacket\sporty_jacket_024.png
