image_path,true_style,true_type,filename
..\dataset\real_world_test\formal\jacket\formal_jacket_rw_001.png,formal,jacket,formal_jacket_rw_001.png
..\dataset\real_world_test\formal\jacket\formal_jacket_rw_002.png,formal,jacket,formal_jacket_rw_002.png
..\dataset\real_world_test\formal\pants\formal_pants_rw_001.png,formal,pants,formal_pants_rw_001.png
..\dataset\real_world_test\formal\pants\formal_pants_rw_002.png,formal,pants,formal_pants_rw_002.png
..\dataset\real_world_test\formal\shoes\formal_shoes_rw_001.png,formal,shoes,formal_shoes_rw_001.png
..\dataset\real_world_test\formal\shoes\formal_shoes_rw_002.png,formal,shoes,formal_shoes_rw_002.png
..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_001.png,formal,tshirt,formal_tshirt_rw_001.png
..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal,tshirt,formal_tshirt_rw_002.png
..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_001.png,gothic,jacket,gothic_jacket_rw_001.png
..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_002.png,gothic,jacket,gothic_jacket_rw_002.png
..\dataset\real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic,pants,gothic_pants_rw_001.png
..\dataset\real_world_test\gothic\pants\gothic_pants_rw_002.png,gothic,pants,gothic_pants_rw_002.png
..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_001.png,gothic,shoes,gothic_shoes_rw_001.png
..\dataset\real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic,shoes,gothic_shoes_rw_002.png
..\dataset\real_world_test\gothic\tshirt\gothic_tshirt_rw_001.png,gothic,tshirt,gothic_tshirt_rw_001.png
..\dataset\real_world_test\gothic\tshirt\gothic_tshirt_rw_002.png,gothic,tshirt,gothic_tshirt_rw_002.png
..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_001.png,sporty,jacket,sporty_jacket_rw_001.png
..\dataset\real_world_test\sporty\jacket\sporty_jacket_rw_002.png,sporty,jacket,sporty_jacket_rw_002.png
..\dataset\real_world_test\sporty\pants\sporty_pants_rw_001.png,sporty,pants,sporty_pants_rw_001.png
..\dataset\real_world_test\sporty\pants\sporty_pants_rw_002.png,sporty,pants,sporty_pants_rw_002.png
..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_001.png,sporty,shoes,sporty_shoes_rw_001.png
..\dataset\real_world_test\sporty\shoes\sporty_shoes_rw_002.png,sporty,shoes,sporty_shoes_rw_002.png
..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_001.png,sporty,tshirt,sporty_tshirt_rw_001.png
..\dataset\real_world_test\sporty\tshirt\sporty_tshirt_rw_002.png,sporty,tshirt,sporty_tshirt_rw_002.png
..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_001.png,streetwear,jacket,streetwear_jacket_rw_001.png
..\dataset\real_world_test\streetwear\jacket\streetwear_jacket_rw_002.png,streetwear,jacket,streetwear_jacket_rw_002.png
..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear,pants,streetwear_pants_rw_001.png
..\dataset\real_world_test\streetwear\pants\streetwear_pants_rw_002.png,streetwear,pants,streetwear_pants_rw_002.png
..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_001.png,streetwear,shoes,streetwear_shoes_rw_001.png
..\dataset\real_world_test\streetwear\shoes\streetwear_shoes_rw_002.png,streetwear,shoes,streetwear_shoes_rw_002.png
..\dataset\real_world_test\streetwear\tshirt\streetwear_tshirt_rw_001.png,streetwear,tshirt,streetwear_tshirt_rw_001.png
..\dataset\real_world_test\streetwear\tshirt\streetwear_tshirt_rw_002.png,streetwear,tshirt,streetwear_tshirt_rw_002.png
