input_image,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,style_correct,type_correct,recommended_styles,recommended_types,recommended_files,recommended_similarities,num_recommendations,same_actual_type_issue
..\dataset\real_world_test\formal\jacket\formal_jacket_rw_001.png,formal_jacket_rw_001.png,formal,jacket,formal,jacket,0.7434809803962708,0.9076456427574158,reliable,True,True,"['formal', 'formal', 'formal']","['pants', 'tshirt', 'shoes']","['formal_pants_002.png', 'formal_tshirt_049.png', 'formal_shoes_011.png']","[0.772238552570343, 0.77081698179245, 0.7580453157424927]",3,False
..\dataset\real_world_test\formal\jacket\formal_jacket_rw_002.png,formal_jacket_rw_002.png,formal,jacket,formal,jacket,0.9083964824676514,0.9354145526885986,reliable,True,True,"['formal', 'formal', 'formal']","['tshirt', 'pants', 'shoes']","['formal_tshirt_009.png', 'formal_pants_036.png', 'formal_shoes_050.png']","[0.5641196966171265, 0.5549345016479492, 0.5474374294281006]",3,False
..\dataset\real_world_test\formal\pants\formal_pants_rw_001.png,formal_pants_rw_001.png,formal,pants,formal,pants,0.8087937235832214,0.7376230955123901,reliable,True,True,"['formal', 'formal', 'formal']","['jacket', 'tshirt', 'shoes']","['formal_jacket_039.png', 'formal_tshirt_001.png', 'formal_shoes_048.png']","[0.854070782661438, 0.7868897914886475, 0.7796559929847717]",3,False
..\dataset\real_world_test\formal\pants\formal_pants_rw_002.png,formal_pants_rw_002.png,formal,pants,sporty,pants,0.5629564523696899,0.5738642811775208,style_and_type_uncertain,False,True,"['sporty', 'sporty', 'sporty']","['jacket', 'tshirt', 'shoes']","['sporty_jacket_023.png', 'sporty_tshirt_049.png', 'sporty_shoes_014.png']","[0.7370046377182007, 0.7207883596420288, 0.6321055889129639]",3,False
..\dataset\real_world_test\formal\shoes\formal_shoes_rw_001.png,formal_shoes_rw_001.png,formal,shoes,formal,shoes,0.5553203225135803,0.9784422516822815,style_uncertain,True,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'tshirt']","['formal_jacket_039.png', 'formal_pants_019.png', 'formal_tshirt_004.png']","[0.7647998332977295, 0.7517022490501404, 0.7292396426200867]",3,False
..\dataset\real_world_test\formal\shoes\formal_shoes_rw_002.png,formal_shoes_rw_002.png,formal,shoes,formal,shoes,0.36665722727775574,0.8421630859375,style_uncertain,True,True,"['formal', 'formal', 'formal']","['pants', 'jacket', 'tshirt']","['formal_pants_003.png', 'formal_jacket_006.png', 'formal_tshirt_004.png']","[0.7250185608863831, 0.7202361226081848, 0.6880185604095459]",3,False
..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_001.png,formal_tshirt_rw_001.png,formal,tshirt,sporty,tshirt,0.47618067264556885,0.5693644881248474,style_and_type_uncertain,False,True,"['sporty', 'sporty', 'sporty']","['jacket', 'pants', 'shoes']","['sporty_jacket_023.png', 'sporty_pants_038.png', 'sporty_shoes_015.png']","[0.7472926378250122, 0.7434479594230652, 0.60502690076828]",3,False
..\dataset\real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal_tshirt_rw_002.png,formal,tshirt,streetwear,jacket,0.4295332431793213,0.6030705571174622,style_uncertain,False,False,"['streetwear', 'streetwear', 'streetwear']","['tshirt', 'pants', 'shoes']","['streetwear_tshirt_007.png', 'streetwear_pants_036.png', 'streetwear_shoes_039.png']","[0.5962536334991455, 0.5745104551315308, 0.5261906385421753]",3,True
..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_001.png,gothic_jacket_rw_001.png,gothic,jacket,gothic,jacket,0.8182374238967896,0.813291072845459,reliable,True,True,"['gothic', 'gothic', 'gothic']","['shoes', 'pants', 'tshirt']","['gothic_shoes_013.png', 'gothic_pants_008.png', 'gothic_tshirt_033.png']","[0.7867563366889954, 0.732309103012085, 0.7322986125946045]",3,False
..\dataset\real_world_test\gothic\jacket\gothic_jacket_rw_002.png,gothic_jacket_rw_002.png,gothic,jacket,gothic,jacket,0.6061248779296875,0.9563531875610352,reliable,True,True,"['gothic', 'gothic', 'gothic']","['pants', 'shoes', 'tshirt']","['gothic_pants_027.png', 'gothic_shoes_013.png', 'gothic_tshirt_036.png']","[0.8133538961410522, 0.7582523822784424, 0.74528968334198]",3,False
