image_path,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,style_prediction_correct,type_prediction_correct,safeguard_status,style_confident,type_confident,warnings,recommended_types,recommended_styles,recommended_filenames,recommended_similarities,includes_same_actual_type,num_recommendations
../dataset/real_world_test\formal\jacket\formal_jacket_rw_001.png,formal_jacket_rw_001.png,formal,jacket,formal,jacket,0.6174589991569519,0.9076456427574158,True,True,reliable,True,True,,"pants, shoes, tshirt",formal,"formal_tshirt_050.png, formal_pants_009.png, formal_shoes_025.png","0.7340, 0.7284, 0.5884",False,3
../dataset/real_world_test\formal\jacket\formal_jacket_rw_002.png,formal_jacket_rw_002.png,formal,jacket,formal,jacket,0.7520771026611328,0.9354145526885986,True,True,reliable,True,True,,"pants, shoes, tshirt",formal,"formal_pants_012.png, formal_tshirt_050.png, formal_shoes_016.png","0.6756, 0.6552, 0.4918",False,3
../dataset/real_world_test\formal\pants\formal_pants_rw_001.png,formal_pants_rw_001.png,formal,pants,formal,pants,0.9533319473266602,0.7376230955123901,True,True,reliable,True,True,,"jacket, shoes, tshirt",formal,"formal_tshirt_050.png, formal_jacket_021.png, formal_shoes_037.png","0.6554, 0.6523, 0.5508",False,3
../dataset/real_world_test\formal\pants\formal_pants_rw_002.png,formal_pants_rw_002.png,formal,pants,formal,pants,0.6947023272514343,0.5738642811775208,True,True,type_uncertain,True,False,Clothing type prediction confidence is low. The system may exclude the wrong item type.,"jacket, shoes, tshirt",formal,"formal_tshirt_050.png, formal_jacket_021.png, formal_shoes_047.png","0.6715, 0.6689, 0.5994",False,3
../dataset/real_world_test\formal\shoes\formal_shoes_rw_001.png,formal_shoes_rw_001.png,formal,shoes,formal,shoes,0.794080376625061,0.9784422516822815,True,True,reliable,True,True,,"jacket, pants, tshirt",formal,"formal_jacket_013.png, formal_pants_002.png, formal_tshirt_011.png","0.6582, 0.6580, 0.6332",False,3
../dataset/real_world_test\formal\shoes\formal_shoes_rw_002.png,formal_shoes_rw_002.png,formal,shoes,gothic,shoes,0.3177289664745331,0.8421630859375,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"jacket, pants, tshirt",gothic,"gothic_jacket_008.png, gothic_pants_034.png, gothic_tshirt_022.png","0.7060, 0.6898, 0.6565",False,3
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_001.png,formal_tshirt_rw_001.png,formal,tshirt,streetwear,tshirt,0.4183462858200073,0.5693644881248474,False,True,style_and_type_uncertain,False,False,Style prediction confidence is low. Recommendations may use the wrong style category. | Clothing type prediction confidence is low. The system may exclude the wrong item type.,"jacket, pants, shoes",streetwear,"streetwear_jacket_039.png, streetwear_pants_037.png, streetwear_shoes_019.png","0.7383, 0.6352, 0.5441",False,3
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal_tshirt_rw_002.png,formal,tshirt,streetwear,jacket,0.8685948848724365,0.6030705571174622,False,False,reliable,True,True,,"pants, shoes, tshirt",streetwear,"streetwear_pants_021.png, streetwear_tshirt_001.png, streetwear_shoes_019.png","0.6447, 0.6355, 0.5856",True,3
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_001.png,gothic_jacket_rw_001.png,gothic,jacket,gothic,jacket,0.9787817597389221,0.813291072845459,True,True,reliable,True,True,,"pants, shoes, tshirt",gothic,"gothic_pants_026.png, gothic_tshirt_023.png, gothic_shoes_012.png","0.7667, 0.7632, 0.7213",False,3
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_002.png,gothic_jacket_rw_002.png,gothic,jacket,streetwear,jacket,0.5732507705688477,0.9563531875610352,False,True,style_uncertain,False,True,Style prediction confidence is low. Recommendations may use the wrong style category.,"pants, shoes, tshirt",streetwear,"streetwear_pants_021.png, streetwear_tshirt_015.png, streetwear_shoes_037.png","0.7410, 0.6764, 0.5824",False,3
