input_image,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,style_correct,type_correct,recommended_styles,recommended_types,recommended_files,num_recommendations,same_actual_type_issue,recommendation_paths,structural_validity,style_consistency,visual_coherence,confidence_warning_usefulness,overall_quality,manual_notes
../dataset/real_world_test\formal\jacket\formal_jacket_rw_001.png,formal_jacket_rw_001.png,formal,jacket,formal,jacket,0.7434809803962708,0.9076456427574158,reliable,True,True,"['formal', 'formal', 'formal']","['tshirt', 'pants', 'shoes']","['formal_tshirt_050.png', 'formal_pants_009.png', 'formal_shoes_025.png']",3,False,"['..\\dataset\\cleaned\\formal\\tshirt\\formal_tshirt_050.png', '..\\dataset\\cleaned\\formal\\pants\\formal_pants_009.png', '..\\dataset\\cleaned\\formal\\shoes\\formal_shoes_025.png']",2,2,1,2,2,"Structurally valid because it recommends tshirt, pants, and shoes instead of another jacket. The formal style is consistent. The beige polo is slightly casual, but the full outfit still works reasonably well."
../dataset/real_world_test\formal\jacket\formal_jacket_rw_002.png,formal_jacket_rw_002.png,formal,jacket,formal,jacket,0.9083964824676514,0.9354145526885986,reliable,True,True,"['formal', 'formal', 'formal']","['pants', 'tshirt', 'shoes']","['formal_pants_012.png', 'formal_tshirt_050.png', 'formal_shoes_016.png']",3,False,"['..\\dataset\\cleaned\\formal\\pants\\formal_pants_012.png', '..\\dataset\\cleaned\\formal\\tshirt\\formal_tshirt_050.png', '..\\dataset\\cleaned\\formal\\shoes\\formal_shoes_016.png']",2,2,2,2,2,"Strong recommendation. The input is formal and the recommended pants, shirt, and shoes all match the formal category. The colours and outfit structure are coherent."
../dataset/real_world_test\formal\pants\formal_pants_rw_001.png,formal_pants_rw_001.png,formal,pants,formal,pants,0.8087937235832214,0.7376230955123901,reliable,True,True,"['formal', 'formal', 'formal']","['tshirt', 'jacket', 'shoes']","['formal_tshirt_050.png', 'formal_jacket_021.png', 'formal_shoes_037.png']",3,False,"['..\\dataset\\cleaned\\formal\\tshirt\\formal_tshirt_050.png', '..\\dataset\\cleaned\\formal\\jacket\\formal_jacket_021.png', '..\\dataset\\cleaned\\formal\\shoes\\formal_shoes_037.png']",2,2,2,2,2,"Good formal recommendation. The input pants are complemented by a formal shirt, jacket, and shoes. The outfit is visually coherent and the reliable status makes sense."
../dataset/real_world_test\formal\pants\formal_pants_rw_002.png,formal_pants_rw_002.png,formal,pants,sporty,pants,0.5629564523696899,0.5738642811775208,style_and_type_uncertain,False,True,"['sporty', 'sporty', 'sporty']","['jacket', 'tshirt', 'shoes']","['sporty_jacket_034.png', 'sporty_tshirt_011.png', 'sporty_shoes_020.png']",3,False,"['..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_034.png', '..\\dataset\\cleaned\\sporty\\tshirt\\sporty_tshirt_011.png', '..\\dataset\\cleaned\\sporty\\shoes\\sporty_shoes_020.png']",2,0,0,2,0,"Structurally valid because it recommends jacket, tshirt, and shoes instead of pants. However, the predicted style is sporty while the true style is formal, so the recommendations are from the wrong style. The warning is useful because both style and type are uncertain."
../dataset/real_world_test\formal\shoes\formal_shoes_rw_001.png,formal_shoes_rw_001.png,formal,shoes,formal,shoes,0.5553203225135803,0.9784422516822815,style_uncertain,True,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'tshirt']","['formal_jacket_013.png', 'formal_pants_002.png', 'formal_tshirt_011.png']",3,False,"['..\\dataset\\cleaned\\formal\\jacket\\formal_jacket_013.png', '..\\dataset\\cleaned\\formal\\pants\\formal_pants_002.png', '..\\dataset\\cleaned\\formal\\tshirt\\formal_tshirt_011.png']",2,2,2,1,2,"Structurally valid because it recommends jacket, pants, and tshirt instead of shoes. The formal style is consistent and the outfit works well visually. The style warning is slightly cautious, but still acceptable because style confidence is just below threshold."
../dataset/real_world_test\formal\shoes\formal_shoes_rw_002.png,formal_shoes_rw_002.png,formal,shoes,formal,shoes,0.36665722727775574,0.8421630859375,style_uncertain,True,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'tshirt']","['formal_jacket_015.png', 'formal_pants_005.png', 'formal_tshirt_050.png']",3,False,"['..\\dataset\\cleaned\\formal\\jacket\\formal_jacket_015.png', '..\\dataset\\cleaned\\formal\\pants\\formal_pants_005.png', '..\\dataset\\cleaned\\formal\\tshirt\\formal_tshirt_050.png']",2,2,2,1,2,"Strong formal recommendation. The jacket, pants, and shirt match the formal shoe input well. The outfit is coherent. The warning is cautious because style confidence is below threshold, but the result is still good."
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_001.png,formal_tshirt_rw_001.png,formal,tshirt,sporty,tshirt,0.47618067264556885,0.5693644881248474,style_and_type_uncertain,False,True,"['sporty', 'sporty', 'sporty']","['jacket', 'pants', 'shoes']","['sporty_jacket_029.png', 'sporty_pants_010.png', 'sporty_shoes_021.png']",3,False,"['..\\dataset\\cleaned\\sporty\\jacket\\sporty_jacket_029.png', '..\\dataset\\cleaned\\sporty\\pants\\sporty_pants_010.png', '..\\dataset\\cleaned\\sporty\\shoes\\sporty_shoes_021.png']",2,0,0,2,0,"Structurally valid because it recommends jacket, pants, and shoes instead of tshirt. However, the input is formal but predicted as sporty, so the recommendations are from the wrong style. The warning is useful because both style and type are uncertain."
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal_tshirt_rw_002.png,formal,tshirt,streetwear,jacket,0.4295332431793213,0.6030705571174622,style_uncertain,False,False,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_021.png', 'streetwear_tshirt_001.png', 'streetwear_shoes_019.png']",3,True,"['..\\dataset\\cleaned\\streetwear\\pants\\streetwear_pants_021.png', '..\\dataset\\cleaned\\streetwear\\tshirt\\streetwear_tshirt_001.png', '..\\dataset\\cleaned\\streetwear\\shoes\\streetwear_shoes_019.png']",2,0,0,2,0,"Structurally valid because it avoids tshirt and recommends other item types. However, the input is formal but predicted as streetwear, so the recommendations do not match the intended formal style. The style uncertainty warning is useful."
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_001.png,gothic_jacket_rw_001.png,gothic,jacket,gothic,jacket,0.8182374238967896,0.813291072845459,reliable,True,True,"['gothic', 'gothic', 'gothic']","['pants', 'tshirt', 'shoes']","['gothic_pants_026.png', 'gothic_tshirt_023.png', 'gothic_shoes_012.png']",3,False,"['..\\dataset\\cleaned\\gothic\\pants\\gothic_pants_026.png', '..\\dataset\\cleaned\\gothic\\tshirt\\gothic_tshirt_023.png', '..\\dataset\\cleaned\\gothic\\shoes\\gothic_shoes_012.png']",2,2,2,2,2,"Strong gothic recommendation. The system recommends pants, tshirt, and shoes instead of another jacket. All items clearly match the gothic style and work well visually with the input."
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_002.png,gothic_jacket_rw_002.png,gothic,jacket,gothic,jacket,0.6061248779296875,0.9563531875610352,reliable,True,True,"['gothic', 'gothic', 'gothic']","['pants', 'tshirt', 'shoes']","['gothic_pants_024.png', 'gothic_tshirt_023.png', 'gothic_shoes_012.png']",3,False,"['..\\dataset\\cleaned\\gothic\\pants\\gothic_pants_024.png', '..\\dataset\\cleaned\\gothic\\tshirt\\gothic_tshirt_023.png', '..\\dataset\\cleaned\\gothic\\shoes\\gothic_shoes_012.png']",2,2,2,2,2,"Strong recommendation. The input jacket is gothic and the recommended pants, tshirt, and shoes are all clearly gothic. The outfit is visually coherent and the reliable status makes sense."
