input_image,filename,true_style,true_type,predicted_style,predicted_type,style_confidence,type_confidence,safeguard_status,style_correct,type_correct,recommended_styles,recommended_types,recommended_files,num_recommendations,same_actual_type_issue
../dataset/real_world_test\formal\jacket\formal_jacket_rw_001.png,formal_jacket_rw_001.png,formal,jacket,formal,jacket,0.7434809803962708,0.9076456427574158,reliable,True,True,"['formal', 'formal', 'formal']","['tshirt', 'pants', 'shoes']","['formal_tshirt_050.png', 'formal_pants_009.png', 'formal_shoes_025.png']",3,False
../dataset/real_world_test\formal\jacket\formal_jacket_rw_002.png,formal_jacket_rw_002.png,formal,jacket,formal,jacket,0.9083964824676514,0.9354145526885986,reliable,True,True,"['formal', 'formal', 'formal']","['pants', 'tshirt', 'shoes']","['formal_pants_012.png', 'formal_tshirt_050.png', 'formal_shoes_016.png']",3,False
../dataset/real_world_test\formal\pants\formal_pants_rw_001.png,formal_pants_rw_001.png,formal,pants,formal,pants,0.8087937235832214,0.7376230955123901,reliable,True,True,"['formal', 'formal', 'formal']","['tshirt', 'jacket', 'shoes']","['formal_tshirt_050.png', 'formal_jacket_021.png', 'formal_shoes_037.png']",3,False
../dataset/real_world_test\formal\pants\formal_pants_rw_002.png,formal_pants_rw_002.png,formal,pants,sporty,pants,0.5629564523696899,0.5738642811775208,style_and_type_uncertain,False,True,"['sporty', 'sporty', 'sporty']","['jacket', 'tshirt', 'shoes']","['sporty_jacket_034.png', 'sporty_tshirt_011.png', 'sporty_shoes_020.png']",3,False
../dataset/real_world_test\formal\shoes\formal_shoes_rw_001.png,formal_shoes_rw_001.png,formal,shoes,formal,shoes,0.5553203225135803,0.9784422516822815,style_uncertain,True,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'tshirt']","['formal_jacket_013.png', 'formal_pants_002.png', 'formal_tshirt_011.png']",3,False
../dataset/real_world_test\formal\shoes\formal_shoes_rw_002.png,formal_shoes_rw_002.png,formal,shoes,formal,shoes,0.36665722727775574,0.8421630859375,style_uncertain,True,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'tshirt']","['formal_jacket_015.png', 'formal_pants_005.png', 'formal_tshirt_050.png']",3,False
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_001.png,formal_tshirt_rw_001.png,formal,tshirt,sporty,tshirt,0.47618067264556885,0.5693644881248474,style_and_type_uncertain,False,True,"['sporty', 'sporty', 'sporty']","['jacket', 'pants', 'shoes']","['sporty_jacket_029.png', 'sporty_pants_010.png', 'sporty_shoes_021.png']",3,False
../dataset/real_world_test\formal\tshirt\formal_tshirt_rw_002.png,formal_tshirt_rw_002.png,formal,tshirt,streetwear,jacket,0.4295332431793213,0.6030705571174622,style_uncertain,False,False,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_021.png', 'streetwear_tshirt_001.png', 'streetwear_shoes_019.png']",3,True
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_001.png,gothic_jacket_rw_001.png,gothic,jacket,gothic,jacket,0.8182374238967896,0.813291072845459,reliable,True,True,"['gothic', 'gothic', 'gothic']","['pants', 'tshirt', 'shoes']","['gothic_pants_026.png', 'gothic_tshirt_023.png', 'gothic_shoes_012.png']",3,False
../dataset/real_world_test\gothic\jacket\gothic_jacket_rw_002.png,gothic_jacket_rw_002.png,gothic,jacket,gothic,jacket,0.6061248779296875,0.9563531875610352,reliable,True,True,"['gothic', 'gothic', 'gothic']","['pants', 'tshirt', 'shoes']","['gothic_pants_024.png', 'gothic_tshirt_023.png', 'gothic_shoes_012.png']",3,False
../dataset/real_world_test\gothic\pants\gothic_pants_rw_001.png,gothic_pants_rw_001.png,gothic,pants,gothic,pants,0.4295786917209625,0.7528611421585083,style_uncertain,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'shoes', 'tshirt']","['gothic_jacket_020.png', 'gothic_shoes_027.png', 'gothic_tshirt_022.png']",3,False
../dataset/real_world_test\gothic\pants\gothic_pants_rw_002.png,gothic_pants_rw_002.png,gothic,pants,gothic,pants,0.9541753530502319,0.7361474633216858,reliable,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'shoes', 'tshirt']","['gothic_jacket_002.png', 'gothic_shoes_018.png', 'gothic_tshirt_037.png']",3,False
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_001.png,gothic_shoes_rw_001.png,gothic,shoes,gothic,shoes,0.7410562634468079,0.6205840110778809,reliable,True,True,"['gothic', 'gothic', 'gothic']","['jacket', 'pants', 'tshirt']","['gothic_jacket_020.png', 'gothic_pants_033.png', 'gothic_tshirt_022.png']",3,False
../dataset/real_world_test\gothic\shoes\gothic_shoes_rw_002.png,gothic_shoes_rw_002.png,gothic,shoes,streetwear,shoes,0.6916472911834717,0.8649625182151794,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'tshirt']","['streetwear_pants_047.png', 'streetwear_jacket_032.png', 'streetwear_tshirt_015.png']",3,False
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_001.png,gothic_tshirt_rw_001.png,gothic,tshirt,streetwear,tshirt,0.7281699776649475,0.9417912364006042,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_040.png', 'streetwear_pants_028.png', 'streetwear_shoes_019.png']",3,False
../dataset/real_world_test\gothic\tshirt\gothic_tshirt_rw_002.png,gothic_tshirt_rw_002.png,gothic,tshirt,streetwear,tshirt,0.8214603066444397,0.9867812991142273,reliable,False,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'pants', 'shoes']","['streetwear_jacket_033.png', 'streetwear_pants_037.png', 'streetwear_shoes_029.png']",3,False
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_001.png,sporty_jacket_rw_001.png,sporty,jacket,formal,jacket,0.349811315536499,0.9789624810218811,style_uncertain,False,True,"['formal', 'formal', 'formal']","['tshirt', 'pants', 'shoes']","['formal_tshirt_050.png', 'formal_pants_014.png', 'formal_shoes_043.png']",3,False
../dataset/real_world_test\sporty\jacket\sporty_jacket_rw_002.png,sporty_jacket_rw_002.png,sporty,jacket,streetwear,jacket,0.41041722893714905,0.549742579460144,style_and_type_uncertain,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_037.png', 'streetwear_tshirt_015.png', 'streetwear_shoes_038.png']",3,False
../dataset/real_world_test\sporty\pants\sporty_pants_rw_001.png,sporty_pants_rw_001.png,sporty,pants,sporty,pants,0.7147127389907837,0.8714689612388611,reliable,True,True,"['sporty', 'sporty', 'sporty']","['jacket', 'tshirt', 'shoes']","['sporty_jacket_047.png', 'sporty_tshirt_011.png', 'sporty_shoes_003.png']",3,False
../dataset/real_world_test\sporty\pants\sporty_pants_rw_002.png,sporty_pants_rw_002.png,sporty,pants,sporty,pants,0.2893950641155243,0.5020679831504822,style_and_type_uncertain,True,True,"['sporty', 'sporty', 'sporty']","['tshirt', 'jacket', 'shoes']","['sporty_tshirt_023.png', 'sporty_jacket_032.png', 'sporty_shoes_021.png']",3,False
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_001.png,sporty_shoes_rw_001.png,sporty,shoes,sporty,shoes,0.4815478026866913,0.7329859137535095,style_uncertain,True,True,"['sporty', 'sporty', 'sporty']","['pants', 'jacket', 'tshirt']","['sporty_pants_010.png', 'sporty_jacket_029.png', 'sporty_tshirt_013.png']",3,False
../dataset/real_world_test\sporty\shoes\sporty_shoes_rw_002.png,sporty_shoes_rw_002.png,sporty,shoes,streetwear,shoes,0.5283182263374329,0.9421462416648865,style_uncertain,False,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'jacket', 'tshirt']","['streetwear_pants_047.png', 'streetwear_jacket_039.png', 'streetwear_tshirt_034.png']",3,False
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_001.png,sporty_tshirt_rw_001.png,sporty,tshirt,sporty,tshirt,0.6658940315246582,0.9042292237281799,reliable,True,True,"['sporty', 'sporty', 'sporty']","['pants', 'jacket', 'shoes']","['sporty_pants_038.png', 'sporty_jacket_030.png', 'sporty_shoes_010.png']",3,False
../dataset/real_world_test\sporty\tshirt\sporty_tshirt_rw_002.png,sporty_tshirt_rw_002.png,sporty,tshirt,formal,tshirt,0.4735856354236603,0.9313180446624756,style_uncertain,False,True,"['formal', 'formal', 'formal']","['jacket', 'pants', 'shoes']","['formal_jacket_018.png', 'formal_pants_004.png', 'formal_shoes_037.png']",3,False
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_001.png,streetwear_jacket_rw_001.png,streetwear,jacket,streetwear,jacket,0.5649640560150146,0.6415799856185913,style_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['tshirt', 'pants', 'shoes']","['streetwear_tshirt_004.png', 'streetwear_pants_035.png', 'streetwear_shoes_048.png']",3,False
../dataset/real_world_test\streetwear\jacket\streetwear_jacket_rw_002.png,streetwear_jacket_rw_002.png,streetwear,jacket,streetwear,jacket,0.6398782730102539,0.5169292688369751,type_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['pants', 'shoes', 'tshirt']","['streetwear_pants_035.png', 'streetwear_shoes_048.png', 'streetwear_tshirt_045.png']",3,False
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_001.png,streetwear_pants_rw_001.png,streetwear,pants,streetwear,pants,0.517084538936615,0.5224278569221497,style_and_type_uncertain,True,True,"['streetwear', 'streetwear', 'streetwear']","['jacket', 'tshirt', 'shoes']","['streetwear_jacket_044.png', 'streetwear_tshirt_010.png', 'streetwear_shoes_028.png']",3,False
../dataset/real_world_test\streetwear\pants\streetwear_pants_rw_002.png,streetwear_pants_rw_002.png,streetwear,pants,streetwear,jacket,0.3453943729400635,0.8708671927452087,style_uncertain,True,False,"['streetwear', 'streetwear', 'streetwear']","['pants', 'tshirt', 'shoes']","['streetwear_pants_002.png', 'streetwear_tshirt_007.png', 'streetwear_shoes_019.png']",3,True
