model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
mobilenet_v3_large,1,1.2186216646974737,0.5181818181818182,1.1140130678812663,0.6916666666666667
mobilenet_v3_large,2,0.8787210283857403,0.7696969696969697,0.9136300802230835,0.725
mobilenet_v3_large,3,0.7135427420789545,0.8151515151515152,0.7822320540746053,0.7833333333333333
mobilenet_v3_large,4,0.6192721717285388,0.8363636363636363,0.6931438644727071,0.825
mobilenet_v3_large,5,0.5639623631130565,0.8409090909090909,0.636150308450063,0.8166666666666667
mobilenet_v3_large,6,0.5065030365279226,0.8424242424242424,0.582639233271281,0.8333333333333334
mobilenet_v3_large,7,0.462707130836718,0.8757575757575757,0.5360670884450277,0.85
mobilenet_v3_large,8,0.4348040779431661,0.8636363636363636,0.5119518558184306,0.8416666666666667
mobilenet_v3_large,9,0.4042525959737373,0.8863636363636364,0.4914634346961975,0.8583333333333333
mobilenet_v3_large,10,0.39622295697530113,0.8803030303030303,0.47556408643722536,0.8666666666666667
