model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
resnet34,1,1.2650450988249344,0.42727272727272725,1.2544099887212117,0.4
resnet34,2,0.9761002114324858,0.6075757575757575,0.9250057419141133,0.6166666666666667
resnet34,3,0.835346334992033,0.7106060606060606,0.8509731332461039,0.6416666666666667
resnet34,4,0.7674873792763912,0.7257575757575757,0.7091495196024576,0.7833333333333333
resnet34,5,0.7246208646080711,0.7303030303030303,0.647845733165741,0.775
resnet34,6,0.6116580880049504,0.8136363636363636,0.6024191657702128,0.825
resnet34,7,0.5841918923638084,0.8151515151515152,0.6406379818916321,0.7416666666666667
resnet34,8,0.5448594924175378,0.8196969696969697,0.5472495992978413,0.825
resnet34,9,0.5340100295615918,0.8287878787878787,0.5365748802820841,0.8416666666666667
resnet34,10,0.5053369720776876,0.8590909090909091,0.5563353498776754,0.7916666666666666
