review_priority,review_pair,source,split,filename,image_path,true_style,predicted_style,second_style,suggested_second_label,top_confidence,second_confidence,confidence_margin,loss,wrong_prediction,high_loss,low_margin,low_confidence,manual_formal,manual_gothic,manual_sporty,manual_streetwear,review_decision,manual_notes
A_high,gothic + streetwear,style_extra,style_extra,streetwear_pants_extra_006.png,..\dataset\style_extra\streetwear\pants\streetwear_pants_extra_006.png,streetwear,gothic,streetwear,gothic,0.343494833,0.318252087,0.025242746,1.144911528,TRUE,TRUE,TRUE,TRUE,0,1,0,1,add_second_label,"Dark shiny oversized pants can work as streetwear, but also have a gothic/alternative look."
A_high,gothic + streetwear,split_style_train,train,tshirt_streetwear_tshirt_006.png,..\dataset\split_style\train\streetwear\tshirt_streetwear_tshirt_006.png,streetwear,gothic,streetwear,gothic,0.781208754,0.190092936,0.591115817,1.6602422,TRUE,TRUE,FALSE,FALSE,0,1,0,1,add_second_label,"Black oversized graphic tee is streetwear, but the dark artwork makes gothic also reasonable."
A_high,gothic + streetwear,split_style_train,train,pants_gothic_pants_029.png,..\dataset\split_style\train\gothic\pants_gothic_pants_029.png,gothic,streetwear,gothic,streetwear,0.596113086,0.297465593,0.298647493,1.212456703,TRUE,TRUE,FALSE,TRUE,0,1,0,1,add_second_label,"Clearly gothic because of the lacing/leather look, but could also fit dark streetwear outfits."
A_high,gothic + streetwear,split_style_train,train,shoes_gothic_shoes_028.png,..\dataset\split_style\train\gothic\shoes_gothic_shoes_028.png,gothic,streetwear,gothic,streetwear,0.437424332,0.368600637,0.068823695,0.998041511,TRUE,FALSE,TRUE,TRUE,0,1,0,0,keep_single_label,These are very clearly gothic/punk boots. Streetwear does not feel necessary here.
A_high,gothic + streetwear,split_style_train,train,shoes_streetwear_shoes_018.png,..\dataset\split_style\train\streetwear\shoes_streetwear_shoes_018.png,streetwear,gothic,streetwear,gothic,0.419538051,0.370635808,0.048902243,0.992535353,TRUE,FALSE,TRUE,TRUE,0,0,0,1,keep_single_label,Black Converse-style shoes are common streetwear. The black color alone is not enough to call it gothic.
A_high,gothic + streetwear,split_style_train,train,pants_gothic_pants_047.png,..\dataset\split_style\train\gothic\pants_gothic_pants_047.png,gothic,gothic,streetwear,streetwear,0.425509065,0.304125071,0.121383995,0.854469061,FALSE,FALSE,TRUE,TRUE,0,1,0,0,keep_single_label,The black/white striped pants feel more gothic/alternative than streetwear.
A_high,gothic + streetwear,style_extra,style_extra,streetwear_shoes_extra_004.png,..\dataset\style_extra\streetwear\shoes\streetwear_shoes_extra_004.png,streetwear,streetwear,gothic,gothic,0.440730751,0.32074976,0.119980991,0.819321156,FALSE,FALSE,TRUE,TRUE,0,0,0,1,keep_single_label,"Converse-style shoes fit streetwear. They are dark, but not gothic enough by themselves."
A_high,gothic + streetwear,split_style_train,train,jacket_gothic_jacket_038.png,..\dataset\split_style\train\gothic\jacket_gothic_jacket_038.png,gothic,gothic,streetwear,streetwear,0.459109753,0.309510976,0.149598777,0.778465986,FALSE,FALSE,TRUE,TRUE,1,1,0,0,add_second_label,"From a gothic source, so gothic label is valid, but visually it also looks formal/vintage because of the coat shape and pattern."
A_high,gothic + streetwear,split_style_train,train,jacket_streetwear_jacket_028.png,..\dataset\split_style\train\streetwear\jacket_streetwear_jacket_028.png,streetwear,streetwear,gothic,gothic,0.468370736,0.269505978,0.198864758,0.758495092,FALSE,FALSE,TRUE,TRUE,0,1,0,1,add_second_label,"Dark oversized streetwear jacket, but the black styling and graphics can also fit gothic/alternative outfits."
A_high,gothic + streetwear,style_extra,style_extra,streetwear_jacket_extra_012.png,..\dataset\style_extra\streetwear\jacket\streetwear_jacket_extra_012.png,streetwear,streetwear,gothic,gothic,0.504559815,0.425359726,0.079200089,0.684068859,FALSE,FALSE,TRUE,TRUE,0,1,0,1,add_second_label,"Streetwear shape, but the military/dark jacket style also fits gothic/alternative styling."
A_high,sporty + streetwear,style_extra,style_extra,sporty_jacket_extra_003.png,..\dataset\style_extra\sporty\jacket\sporty_jacket_extra_003.png,sporty,streetwear,sporty,streetwear,0.436142504,0.297730744,0.13841176,1.211565733,TRUE,TRUE,TRUE,TRUE,0,0,1,1,add_second_label,"Adidas track jacket is clearly sporty, but also very common in streetwear styling."
A_high,sporty + streetwear,split_style_train,train,pants_sporty_pants_046.png,..\dataset\split_style\train\sporty\pants_sporty_pants_046.png,sporty,streetwear,sporty,streetwear,0.473408103,0.311674595,0.161733508,1.165795565,TRUE,TRUE,TRUE,TRUE,0,0,1,1,add_second_label,"Cargo-style loose pants can fit sporty/outdoor style, but also streetwear."
A_high,sporty + streetwear,style_extra,style_extra,sporty_jacket_extra_006.png,..\dataset\style_extra\sporty\jacket\sporty_jacket_extra_006.png,sporty,streetwear,sporty,streetwear,0.374003291,0.313109666,0.060893625,1.161201715,TRUE,TRUE,TRUE,TRUE,0,0,1,0,keep_single_label,"Track jacket is sporty, but the full look does not strongly read as streetwear."
