source,true_style,num_images,accuracy,avg_loss,wrong_predictions,low_margin_count,candidate_count
real_world_test,formal,20,0.7,0.6901313502341508,6,7,5
real_world_test,gothic,20,0.65,1.138694189209491,7,5,9
real_world_test,sporty,20,0.45,1.2713344871997834,11,12,13
real_world_test,streetwear,20,0.7,0.8026120277121663,6,6,11
split_style_test,formal,30,0.9666666666666667,0.3190930599036316,1,2,3
split_style_test,gothic,30,0.9666666666666667,0.21015929707015554,1,2,3
split_style_test,sporty,30,0.7333333333333333,0.6242170179883639,8,5,9
split_style_test,streetwear,30,0.6,0.6854268375163277,12,7,13
split_style_train,formal,140,0.9714285714285714,0.23092140747633363,4,13,9
split_style_train,gothic,140,0.9857142857142858,0.17260484918951988,2,4,8
split_style_train,sporty,140,0.8857142857142857,0.4247997547366789,16,25,14
split_style_train,streetwear,140,0.8785714285714286,0.44434932129723687,17,26,48
split_style_val,formal,30,0.9,0.3128687906389435,3,4,3
split_style_val,gothic,30,0.8666666666666667,0.3947652269154787,4,5,7
split_style_val,sporty,30,0.8666666666666667,0.5395552375043432,4,7,4
split_style_val,streetwear,30,0.8333333333333334,0.6550126099648576,5,7,14
style_extra,formal,20,0.9,0.4758537083864212,2,5,2
style_extra,sporty,20,0.65,0.7315427236258983,7,7,9
style_extra,streetwear,60,0.8666666666666667,0.5255289645244677,8,17,25
